zone_type,rainfall_mm,week_type,population_density,month,special_event,previous_wet_tons,previous_dry_tons,wet_waste_tons,dry_waste_tons
residential,0.9,normal,low,5,no,3.57,0.97,3.36,1.1
school,7.1,holiday,medium,12,yes,3.81,6.64,3.08,7.14
residential,17.0,normal,high,4,no,7.75,2.46,7.61,2.7
school,16.3,holiday,medium,12,no,3.08,4.4,3.45,4.06
school,1.4,normal,high,2,no,3.77,5.08,3.48,4.89
residential,26.7,normal,low,11,no,4.2,1.03,4.92,0.7
residential,88.4,normal,medium,8,no,5.25,0.7,5.52,1.23
office,54.1,normal,low,9,no,0.77,2.99,1.45,2.94
market,86.0,holiday,medium,4,no,8.86,1.69,10.1,2.06
residential,3.1,normal,low,4,no,3.21,1.1,4.23,1.17
tourist_area,57.9,normal,high,5,no,6.48,4.77,5.79,5.13
residential,0.0,normal,low,2,yes,3.37,1.99,2.94,2.14
school,199.1,festival,high,7,yes,7.95,6.54,7.65,6.73
tourist_area,0.6,normal,medium,5,yes,5.25,6.05,7.38,6.22
residential,154.8,festival,high,6,no,11.84,4.87,11.96,5.26
residential,13.5,normal,medium,4,no,3.66,3.21,4.23,2.88
residential,127.4,normal,high,8,yes,8.68,2.85,9.37,3.37
residential,80.7,normal,low,8,no,4.6,0.37,5.11,0.15
residential,2.2,normal,high,12,yes,7.11,6.3,7.4,5.34
school,43.8,normal,high,5,no,4.88,5.39,5.13,4.96
residential,2.2,normal,low,12,no,3.82,2.76,3.0,1.97
market,253.7,festival,low,6,no,12.64,2.58,11.98,2.15
tourist_area,1.6,holiday,medium,3,no,5.76,5.45,6.21,5.48
office,19.6,holiday,high,1,no,4.7,4.14,4.62,4.5
school,117.5,normal,medium,9,no,2.62,3.4,1.93,4.62
residential,50.9,normal,medium,9,no,5.18,2.78,4.5,2.77
school,7.3,normal,low,3,no,2.46,1.72,1.7,3.08
market,42.7,holiday,low,4,no,8.25,2.1,8.2,2.84
market,129.2,festival,high,7,no,15.0,5.1,17.96,4.36
residential,76.8,normal,low,2,no,3.65,1.8,3.37,1.79
tourist_area,14.2,normal,medium,12,no,3.19,6.68,3.86,6.05
market,21.2,normal,high,3,no,10.2,2.47,10.24,2.99
residential,50.3,normal,low,6,no,4.04,1.13,4.91,0.86
market,8.9,normal,medium,11,no,8.6,1.9,10.1,2.3
market,156.2,normal,low,8,no,7.57,0.56,7.36,1.24
office,12.4,holiday,medium,1,no,3.07,3.3,3.46,3.86
office,16.8,normal,low,4,no,1.46,2.57,2.06,2.57
office,15.5,normal,high,1,no,2.37,4.81,3.0,4.76
residential,37.4,festival,medium,2,no,8.07,2.65,8.05,3.31
market,199.4,normal,medium,8,no,9.03,0.88,9.82,1.45
market,116.5,normal,medium,6,no,6.97,3.11,7.93,3.47
residential,100.1,normal,low,9,no,3.88,1.29,4.78,0.57
residential,45.3,normal,high,2,no,4.95,2.29,5.55,3.02
office,30.7,normal,medium,3,yes,5.61,4.5,4.49,4.55
residential,53.1,holiday,medium,9,no,6.27,2.34,7.86,2.15
market,39.8,normal,low,9,no,5.65,2.16,6.1,1.88
residential,46.8,normal,medium,6,no,6.64,1.84,6.47,2.19
residential,18.3,normal,low,3,yes,3.45,1.83,3.86,2.35
residential,52.4,normal,medium,5,yes,5.22,3.54,5.69,2.4
tourist_area,11.3,holiday,low,2,no,3.54,3.67,3.86,4.14
office,78.4,holiday,high,7,yes,6.36,5.3,6.07,5.07
tourist_area,72.1,normal,medium,10,no,2.62,4.88,3.8,5.38
market,54.4,holiday,high,11,no,14.9,5.14,13.47,4.13
residential,117.5,normal,high,8,no,7.89,3.4,7.16,4.18
market,59.0,festival,low,6,no,10.73,2.72,12.15,2.15
market,94.0,normal,medium,8,no,10.38,2.13,9.48,2.95
office,0.5,festival,low,2,no,4.2,2.4,2.6,2.75
residential,3.4,holiday,medium,3,no,6.92,3.18,5.7,2.65
market,82.2,normal,high,7,no,13.52,3.91,14.69,3.71
residential,24.1,normal,medium,10,no,6.26,1.82,4.73,2.58
residential,2.0,festival,medium,12,no,6.08,4.39,6.02,3.4
office,4.4,holiday,medium,1,no,2.5,4.5,1.95,4.69
market,104.6,normal,medium,7,no,10.27,3.36,10.12,2.94
market,105.1,holiday,low,6,no,8.78,1.65,8.62,2.08
market,110.1,normal,high,8,no,14.01,4.3,13.55,3.83
market,73.4,normal,medium,7,no,10.03,3.23,11.22,2.63
office,8.7,normal,high,4,no,2.35,4.96,2.4,4.17
tourist_area,13.9,normal,low,3,no,2.15,3.59,2.52,3.81
tourist_area,3.1,holiday,medium,3,no,5.69,5.79,5.67,6.02
office,7.7,normal,medium,4,no,4.4,2.55,3.31,3.19
residential,194.8,holiday,low,9,no,3.52,2.69,4.45,2.44
school,300.0,normal,medium,9,no,3.16,4.21,2.82,4.2
market,31.3,normal,high,2,no,9.57,5.51,10.13,5.43
residential,74.6,normal,high,5,no,6.62,2.71,6.94,1.95
office,30.9,normal,medium,1,no,2.57,4.31,1.42,2.95
residential,1.0,normal,medium,4,no,6.82,1.93,6.98,2.9
tourist_area,172.0,normal,low,2,no,4.18,3.54,5.02,2.84
market,37.3,normal,high,8,no,12.86,2.77,12.94,2.54
school,34.4,normal,low,4,no,3.83,2.72,2.55,2.55
school,8.7,normal,high,5,yes,4.07,6.17,5.1,5.27
tourist_area,14.9,normal,medium,11,no,3.3,4.93,4.92,4.96
school,31.1,holiday,medium,4,no,5.17,4.79,4.27,4.15
school,17.2,festival,high,5,no,5.68,5.65,5.59,5.78
residential,8.7,normal,low,5,yes,5.26,1.3,5.06,1.72
market,12.2,normal,medium,5,no,9.01,3.54,8.15,3.03
residential,12.5,normal,medium,11,no,6.05,3.14,5.46,2.76
office,96.1,festival,low,3,no,4.5,3.66,5.09,3.48
market,198.6,normal,medium,7,no,12.23,1.74,11.46,2.48
school,18.4,normal,medium,3,no,3.25,3.84,2.28,4.58
residential,6.7,normal,high,2,no,5.62,4.1,6.1,3.64
residential,50.0,normal,low,3,no,4.6,1.86,3.8,2.6
office,5.1,normal,high,11,no,2.3,5.82,2.96,5.8
residential,7.1,holiday,low,3,no,3.84,0.65,3.26,0.69
residential,49.4,normal,low,8,no,3.82,2.02,3.42,1.22
residential,63.7,normal,medium,4,no,4.8,2.68,5.46,2.26
tourist_area,4.2,normal,low,3,no,3.53,4.23,3.47,4.52
office,3.9,normal,low,10,no,2.43,2.11,1.91,2.04
market,20.4,festival,high,5,no,15.0,5.08,16.94,4.02
residential,9.7,normal,medium,4,yes,6.38,3.11,5.95,2.91
residential,81.9,holiday,low,9,no,5.67,1.38,4.92,0.67
office,78.2,normal,low,8,yes,3.27,2.98,3.91,2.3
school,17.1,normal,high,11,no,5.55,5.21,5.16,5.11
residential,47.7,festival,high,7,no,11.54,2.76,11.91,3.17
residential,70.0,normal,medium,8,no,4.65,3.0,5.22,3.06
residential,51.6,holiday,low,5,no,4.74,1.74,4.85,2.09
school,65.1,normal,low,4,no,1.14,1.76,1.78,1.6
office,69.0,holiday,low,7,no,2.94,1.73,2.58,1.83
residential,3.6,normal,low,1,no,4.06,1.28,4.33,1.56
residential,35.7,normal,medium,6,no,5.28,3.06,5.7,2.54
residential,107.6,holiday,low,8,no,4.98,2.09,4.96,1.78
tourist_area,127.9,festival,medium,7,yes,7.99,6.97,8.52,5.94
residential,14.0,festival,medium,2,yes,7.86,3.78,8.53,3.37
office,107.2,holiday,high,7,yes,6.95,5.31,6.86,5.08
school,115.7,festival,high,6,no,6.13,6.9,5.74,4.96
market,82.2,normal,medium,5,no,9.35,2.93,9.2,3.1
residential,2.0,normal,medium,4,no,6.25,2.61,6.31,1.89
residential,6.4,normal,medium,1,no,4.06,2.61,3.31,2.92
school,2.1,normal,medium,2,yes,3.19,4.35,2.76,4.9
office,212.3,normal,high,7,no,2.32,3.89,4.05,3.49
school,47.2,normal,medium,10,yes,3.25,5.27,3.07,5.5
market,25.6,normal,high,3,no,12.01,3.79,11.76,4.12
residential,2.6,normal,high,5,no,8.33,2.69,8.62,2.68
tourist_area,27.4,normal,medium,8,no,4.64,4.53,5.4,4.24
office,98.8,normal,medium,8,no,3.8,2.1,3.43,2.96
residential,94.9,normal,low,6,yes,5.31,3.19,5.19,2.67
tourist_area,9.0,holiday,low,5,no,5.29,3.46,5.5,4.03
school,2.3,holiday,medium,2,yes,1.5,5.3,2.74,4.41
school,123.0,normal,low,9,no,3.05,2.16,2.61,2.33
office,10.7,normal,high,1,no,4.99,4.32,4.46,3.81
office,18.1,normal,low,11,no,0.66,4.2,1.46,3.48
school,4.1,normal,medium,2,no,1.46,3.99,2.6,4.35
residential,48.7,normal,medium,1,no,3.03,2.09,4.32,3.09
residential,25.0,normal,medium,12,no,3.39,2.13,4.36,2.03
tourist_area,69.6,normal,medium,4,no,6.36,5.26,5.09,4.73
residential,20.5,normal,high,4,no,7.18,2.36,6.99,2.63
market,85.1,festival,medium,5,no,15.0,2.32,14.8,2.4
market,66.7,festival,medium,5,no,14.71,3.22,15.58,3.78
market,119.3,normal,low,8,no,7.91,1.53,7.63,1.59
school,81.5,normal,medium,11,no,3.35,3.89,3.78,4.08
tourist_area,11.7,normal,high,11,no,5.95,6.67,5.67,7.09
residential,13.7,normal,medium,3,yes,5.42,4.1,5.21,3.56
residential,73.2,festival,high,6,no,12.19,3.69,12.51,3.29
residential,26.7,normal,medium,12,no,4.73,2.65,5.69,2.71
tourist_area,38.4,holiday,low,12,no,4.31,4.26,4.01,4.01
school,44.6,normal,low,3,no,0.99,2.31,0.3,2.53
residential,4.9,festival,medium,2,yes,8.47,3.69,7.44,4.29
office,106.4,normal,medium,8,no,3.54,3.4,3.72,2.65
office,5.8,holiday,high,1,no,3.21,6.28,2.83,5.23
office,131.5,normal,medium,9,no,1.73,3.44,1.86,3.29
tourist_area,5.2,normal,medium,11,no,5.41,5.89,5.06,5.32
residential,237.7,normal,medium,7,no,6.34,1.1,4.84,1.48
office,7.9,normal,medium,12,no,2.44,4.82,2.38,4.6
market,10.3,festival,low,10,no,9.46,1.94,9.02,1.33
office,57.1,festival,low,12,no,3.58,2.84,2.59,3.48
office,18.4,festival,low,11,no,3.64,3.5,3.1,2.94
office,0.7,normal,low,4,no,1.62,2.82,1.28,2.59
school,20.5,holiday,low,3,no,1.75,3.93,2.19,3.27
residential,12.2,normal,low,6,no,4.88,1.94,5.38,1.51
market,300.0,normal,medium,9,no,11.05,2.06,10.38,2.99
tourist_area,88.3,normal,medium,9,no,4.95,4.2,4.6,4.45
tourist_area,8.9,normal,high,4,no,5.25,6.4,5.46,6.7
residential,24.9,normal,low,10,no,2.63,1.3,2.45,1.56
residential,2.4,normal,medium,5,no,5.73,3.04,4.87,2.99
residential,48.3,normal,medium,11,no,5.44,3.53,4.3,3.32
office,259.0,holiday,low,9,no,3.67,2.46,2.65,2.51
office,62.3,normal,high,2,no,3.45,2.69,4.53,4.01
residential,12.5,normal,low,2,no,2.42,2.11,2.39,2.03
market,11.8,normal,high,5,no,13.2,3.19,11.22,4.39
office,1.1,normal,high,1,no,5.39,4.42,4.37,5.01
office,111.3,normal,medium,8,no,2.6,2.58,2.03,2.22
market,23.0,normal,medium,5,yes,12.73,2.28,12.11,2.68
school,18.4,normal,medium,12,no,1.36,4.52,1.74,4.72
market,71.5,normal,medium,10,no,8.37,3.18,8.59,3.08
residential,5.5,normal,medium,2,no,3.74,2.68,4.02,2.93
school,0.3,holiday,low,12,no,2.7,3.7,2.25,4.06
school,62.7,normal,low,9,no,2.11,3.04,1.22,2.19
office,7.6,normal,medium,2,no,3.64,4.48,3.22,4.64
school,53.2,holiday,medium,7,no,2.27,4.01,3.41,3.7
office,75.3,normal,high,8,no,3.69,3.29,5.2,3.27
residential,56.5,normal,low,6,no,4.37,2.25,4.23,1.65
market,6.0,festival,high,11,no,15.0,6.09,16.05,6.17
residential,169.9,normal,low,7,yes,5.62,1.5,5.86,1.47
residential,6.9,normal,medium,11,yes,4.97,4.14,6.24,3.46
office,34.9,normal,medium,1,no,5.63,4.42,4.2,3.87
tourist_area,12.9,normal,medium,4,no,4.05,4.23,4.74,3.65
residential,78.2,normal,low,7,no,3.84,1.02,3.62,0.83
market,81.5,normal,medium,1,no,7.1,2.11,7.65,1.97
office,1.1,normal,high,1,no,1.49,3.55,2.97,3.98
residential,20.8,normal,medium,11,no,4.58,2.61,3.98,2.94
school,187.0,normal,medium,6,no,2.95,4.05,2.66,3.94
office,26.6,normal,high,4,no,4.92,4.11,5.24,4.75
school,9.7,normal,high,3,no,3.18,4.88,3.56,5.43
residential,15.2,normal,medium,12,yes,4.85,3.67,5.78,3.35
market,34.2,normal,medium,5,no,8.26,3.02,9.24,2.89
office,190.3,festival,high,9,no,7.36,5.34,7.06,5.18
school,1.3,normal,medium,10,no,3.24,4.91,4.28,3.53
residential,2.2,normal,low,10,yes,4.06,2.46,4.32,1.77
office,11.8,normal,medium,12,no,3.61,4.89,1.48,4.42
residential,7.9,normal,high,12,no,7.18,3.22,6.71,3.37
office,9.2,festival,low,11,yes,3.68,5.88,3.58,5.35
residential,7.5,normal,high,10,no,7.98,2.31,8.02,2.94
tourist_area,6.5,festival,low,3,no,5.22,4.98,4.85,3.94
market,4.2,normal,high,5,no,11.6,3.42,12.67,3.73
residential,81.5,holiday,medium,10,no,6.38,3.64,6.66,3.33
residential,4.7,normal,medium,5,no,7.0,1.74,5.8,2.27
residential,51.0,festival,high,9,no,12.8,3.7,12.18,4.23
office,8.5,normal,medium,11,no,3.3,3.54,2.72,3.58
tourist_area,81.1,normal,medium,12,no,2.38,5.81,3.29,6.26
market,42.3,normal,low,10,no,7.56,1.83,6.7,1.54
market,46.8,normal,low,11,no,7.27,3.23,6.99,2.35
office,3.3,festival,low,4,yes,2.74,2.98,3.21,3.49
tourist_area,54.3,normal,medium,1,no,4.95,4.13,4.56,4.42
school,15.7,normal,low,10,no,1.18,3.8,2.71,3.46
market,9.1,holiday,low,5,no,7.41,1.87,7.6,2.92
market,25.7,normal,medium,1,no,6.5,3.17,5.89,3.32
school,168.6,festival,medium,6,yes,4.56,5.46,5.54,5.44
residential,45.2,holiday,high,12,no,8.39,3.59,8.75,3.48
school,66.2,normal,low,10,no,1.51,3.14,0.5,2.19
market,79.0,festival,low,10,no,11.88,3.01,10.82,2.81
office,44.8,normal,high,7,no,4.94,4.75,5.16,4.8
residential,16.5,normal,medium,1,no,5.66,2.58,5.56,2.45
school,0.4,normal,high,10,no,2.49,6.18,2.87,5.92
market,63.4,normal,high,4,no,12.22,3.33,12.24,4.1
school,33.3,holiday,high,9,no,4.78,5.0,4.07,5.82
residential,59.3,festival,low,1,no,5.2,2.48,3.85,2.61
school,75.7,normal,high,9,no,2.27,4.79,4.08,4.8
school,57.6,normal,high,8,no,3.63,3.87,3.17,3.43
school,1.2,festival,medium,5,no,4.31,4.32,4.4,4.24
school,53.5,normal,medium,6,no,1.69,1.81,2.09,2.42
school,185.7,normal,medium,7,no,1.97,4.05,2.96,3.26
office,0.8,normal,low,4,no,2.7,2.25,2.63,2.4
residential,77.4,festival,medium,6,no,7.48,3.39,8.22,3.97
office,61.4,normal,medium,7,no,2.35,2.26,1.27,3.23
market,13.9,holiday,medium,11,no,10.87,3.05,10.12,3.45
residential,84.4,holiday,medium,6,yes,9.56,2.89,9.51,3.28
residential,8.7,normal,medium,11,no,4.53,3.19,5.12,2.64
residential,63.0,normal,medium,12,no,4.32,2.16,3.95,3.11
office,68.5,holiday,high,6,no,5.46,5.35,4.61,4.25
office,9.6,normal,low,2,no,0.64,1.39,1.27,2.3
office,26.7,holiday,medium,5,yes,5.75,4.65,3.59,4.79
market,4.6,festival,low,3,no,10.92,2.6,9.62,2.29
market,105.5,normal,medium,7,no,11.71,3.2,12.21,2.77
residential,23.7,holiday,high,4,no,8.25,3.35,9.24,2.91
residential,8.1,holiday,high,1,no,6.62,5.07,7.25,4.06
market,34.1,holiday,medium,12,no,9.04,3.14,9.52,2.77
residential,20.3,normal,high,12,no,6.44,3.45,5.27,3.91
residential,130.9,normal,low,6,yes,6.03,1.63,5.28,2.24
school,283.7,normal,medium,6,no,3.93,3.06,3.42,2.11
office,34.8,normal,low,7,no,3.82,1.13,2.93,2.37
tourist_area,12.2,normal,high,11,no,5.38,7.51,5.46,7.27
tourist_area,51.3,holiday,medium,8,no,5.17,4.63,6.4,4.88
school,4.9,normal,medium,3,no,3.34,3.44,2.63,2.99
market,149.9,normal,high,6,no,13.41,3.03,13.33,3.71
school,42.8,normal,low,10,no,0.89,2.41,1.75,2.65
office,19.9,holiday,low,2,no,2.77,4.15,1.79,4.08
residential,97.0,normal,high,9,no,5.95,3.58,6.06,3.81
market,1.8,normal,medium,2,no,7.98,2.93,7.41,3.59
office,24.3,normal,low,3,yes,1.56,3.01,1.98,2.67
market,47.0,holiday,medium,12,yes,12.77,5.56,12.09,5.1
school,25.6,normal,medium,10,no,2.7,4.64,2.46,4.06
school,9.2,normal,low,12,no,0.5,1.24,0.62,2.53
residential,33.0,festival,medium,12,yes,10.01,4.89,8.87,4.86
market,13.5,holiday,low,2,no,7.06,2.22,7.37,2.8
residential,110.6,festival,medium,9,no,8.37,2.47,8.27,3.15
residential,20.1,normal,high,1,no,5.82,4.18,6.36,3.05
residential,14.4,normal,high,5,no,6.28,4.31,6.08,4.32
office,38.1,festival,medium,1,no,4.92,5.5,4.28,5.57
residential,64.6,normal,low,5,no,6.29,2.28,5.32,1.79
market,53.9,holiday,high,8,no,15.0,4.73,15.35,4.48
residential,224.6,normal,medium,8,no,5.98,1.08,6.48,1.43
tourist_area,21.5,normal,low,11,no,2.73,2.68,2.74,3.44
residential,110.7,normal,high,8,no,5.9,3.46,7.18,2.95
market,58.1,normal,high,2,no,10.83,4.1,10.92,4.22
office,68.9,normal,high,8,yes,5.51,3.98,5.48,4.33
office,54.0,normal,high,12,yes,5.17,6.09,4.37,5.97
residential,5.9,festival,low,5,no,6.67,2.67,7.02,2.49
office,5.2,normal,low,1,no,3.05,2.74,2.1,3.88
market,118.0,normal,medium,7,no,10.18,1.87,10.23,1.81
market,188.8,holiday,low,6,no,10.22,1.81,9.8,1.77
residential,66.9,normal,medium,5,yes,6.97,2.9,6.7,2.52
residential,31.0,normal,high,1,no,5.52,2.59,5.58,2.69
office,22.4,holiday,high,1,no,3.18,5.65,3.21,5.92
market,51.2,normal,medium,6,no,9.63,1.3,8.77,2.2
market,117.4,holiday,high,10,no,14.96,4.29,15.61,4.28
office,11.6,holiday,high,12,yes,6.8,6.72,5.97,7.45
office,147.6,festival,medium,7,no,6.7,4.58,6.22,4.51
residential,22.8,normal,low,10,yes,4.96,1.76,4.71,1.85
school,28.1,normal,medium,10,no,3.54,3.71,3.81,3.13
residential,15.0,normal,medium,1,no,4.0,3.19,5.41,3.3
office,300.0,normal,low,9,yes,2.74,2.31,2.98,2.44
school,25.4,festival,medium,4,yes,3.58,6.42,3.99,6.23
tourist_area,83.3,normal,low,5,no,1.48,2.38,1.73,2.5
residential,0.2,normal,medium,2,no,3.96,2.45,3.31,2.83
residential,25.5,holiday,high,12,no,6.69,4.1,6.05,4.33
residential,37.9,normal,low,10,no,4.71,1.43,3.89,1.46
residential,132.4,normal,high,8,no,8.65,1.57,7.15,1.52
residential,70.6,normal,medium,2,yes,6.07,3.33,6.45,3.67
tourist_area,0.1,holiday,low,3,no,2.79,4.04,3.47,4.27
residential,0.0,normal,high,12,yes,8.54,4.94,8.0,4.88
residential,79.3,holiday,medium,9,no,7.34,2.81,7.72,1.5
office,0.9,normal,medium,2,no,4.0,3.16,2.84,3.33
market,300.0,holiday,high,6,yes,15.0,4.81,16.58,4.44
office,7.5,holiday,medium,12,no,2.7,4.56,1.83,4.31
residential,19.2,normal,medium,4,no,4.79,0.97,5.45,1.93
market,33.6,normal,low,7,no,5.82,1.2,6.04,1.77
residential,108.6,normal,high,6,no,7.77,3.98,7.87,3.62
residential,14.3,holiday,medium,10,no,7.7,3.07,7.68,3.44
tourist_area,29.1,normal,medium,9,no,5.15,5.14,5.87,4.41
residential,107.1,normal,low,9,no,4.49,1.6,4.34,1.37
market,14.9,normal,medium,10,no,8.45,3.2,8.78,3.14
market,137.9,normal,high,4,no,12.07,3.39,11.7,3.16
residential,7.0,normal,medium,1,no,4.98,4.59,5.84,4.03
tourist_area,23.6,normal,medium,2,no,2.67,5.16,3.13,4.88
residential,300.0,normal,medium,8,no,6.91,1.8,6.68,2.44
school,47.1,holiday,high,10,no,4.33,5.17,4.03,5.06
tourist_area,300.0,normal,medium,8,no,3.18,4.89,4.86,5.37
school,103.5,normal,high,2,no,3.56,4.94,3.5,5.92
tourist_area,20.2,festival,high,4,no,10.27,8.88,10.59,8.42
residential,35.8,holiday,medium,1,no,6.86,3.02,6.56,3.52
market,37.0,festival,low,7,no,11.05,1.84,11.21,1.86
residential,17.5,normal,medium,4,no,4.52,2.75,5.38,3.03
office,49.7,normal,high,11,no,5.35,3.96,5.06,4.27
tourist_area,82.5,normal,low,8,yes,3.76,3.4,3.55,2.91
residential,158.5,holiday,medium,9,yes,8.51,3.51,7.7,1.7
school,41.1,normal,high,12,no,3.62,5.54,3.56,5.57
residential,36.6,normal,medium,9,no,5.41,2.9,5.97,2.74
school,62.6,normal,medium,3,no,4.15,3.85,4.44,4.44
market,18.5,normal,low,5,no,7.58,2.46,6.3,2.23
tourist_area,44.4,normal,low,6,no,3.16,2.41,3.48,3.14
school,179.3,normal,high,6,no,2.99,4.19,3.71,4.01
residential,16.2,normal,low,10,yes,5.68,2.21,5.4,2.02
residential,143.7,normal,medium,8,yes,8.32,1.59,8.42,2.47
residential,94.1,festival,high,6,no,10.7,3.42,11.75,2.38
residential,46.2,holiday,medium,6,no,6.99,3.0,6.4,2.77
residential,49.8,festival,high,4,no,11.47,4.28,10.73,3.94
office,97.8,holiday,high,7,no,5.37,4.07,5.76,4.77
school,75.3,normal,medium,8,no,3.72,3.45,4.0,3.18
market,3.5,normal,low,3,no,6.49,2.38,6.4,2.47
residential,196.7,normal,high,7,no,8.56,2.72,7.54,3.06
office,1.1,normal,medium,3,no,2.76,2.89,2.17,2.46
office,203.0,normal,low,8,no,1.68,2.89,2.51,2.41
residential,13.4,normal,high,1,no,6.41,3.65,6.13,3.34
office,30.6,normal,low,1,no,0.5,3.26,1.21,3.36
market,249.9,normal,high,6,no,13.71,3.98,14.5,3.88
residential,4.9,normal,low,10,no,3.45,2.4,2.88,2.0
market,101.2,normal,low,9,no,8.76,1.61,7.84,1.25
market,43.4,holiday,low,12,no,7.52,2.85,7.14,3.26
residential,42.5,normal,high,4,no,6.7,2.23,7.1,2.56
tourist_area,100.6,normal,medium,6,no,5.3,4.03,5.77,3.39
office,29.4,normal,high,12,no,3.05,4.68,2.49,4.21
school,42.5,normal,medium,5,no,2.02,3.91,2.32,3.98
market,55.2,normal,medium,12,yes,11.78,4.57,11.46,3.79
market,43.0,normal,low,1,no,5.69,1.75,4.67,2.77
school,29.5,normal,medium,6,no,4.1,2.97,3.58,2.78
market,300.0,normal,medium,9,yes,13.37,2.67,11.97,2.8
residential,17.1,festival,medium,12,no,6.27,2.88,6.34,3.33
market,0.7,festival,medium,3,no,13.34,3.42,11.51,3.27
office,13.5,normal,high,11,no,4.69,3.35,5.28,3.03
market,4.1,normal,low,3,no,7.17,1.35,6.51,1.75
residential,3.9,holiday,high,2,no,6.12,4.5,6.11,3.85
office,9.9,normal,low,4,no,2.13,2.81,2.42,2.64
residential,1.6,normal,medium,10,no,5.53,2.0,4.73,2.17
residential,35.0,normal,medium,3,no,4.5,2.72,3.94,2.7
residential,2.3,festival,medium,12,no,7.94,2.83,8.62,3.94
residential,6.8,normal,medium,2,no,6.87,2.73,7.01,2.4
office,2.9,normal,medium,1,no,4.13,5.66,3.23,4.55
market,2.0,holiday,medium,3,no,10.14,4.95,10.6,3.49
residential,9.3,normal,high,10,no,6.68,3.0,6.98,3.02
office,123.8,normal,medium,6,no,2.85,2.62,2.29,2.94
office,282.3,festival,high,9,no,6.81,4.0,6.45,4.15
office,62.5,normal,low,11,no,1.87,1.72,2.97,2.29
residential,62.6,normal,medium,5,no,6.19,2.13,5.09,2.1
market,5.8,normal,medium,3,no,9.32,2.45,10.2,2.08
tourist_area,9.2,normal,medium,5,no,5.31,5.04,4.83,4.97
office,2.4,normal,medium,5,no,4.75,4.56,5.12,3.86
residential,45.2,normal,medium,5,no,4.47,2.15,4.73,2.25
residential,2.2,normal,low,12,no,4.46,2.54,4.58,2.05
market,24.4,holiday,low,12,no,6.18,2.05,7.47,2.07
tourist_area,46.5,normal,low,7,no,3.05,3.75,4.28,3.45
market,8.4,normal,medium,5,no,10.51,2.49,9.7,2.5
market,300.0,normal,medium,7,no,11.24,2.25,10.56,3.02
residential,182.4,holiday,high,9,no,10.18,4.05,9.73,4.02
school,54.4,normal,high,5,yes,4.03,6.27,3.42,6.26
office,25.5,normal,low,2,no,1.36,2.2,1.78,2.24
market,61.4,normal,high,5,no,12.16,3.69,11.94,2.69
office,127.1,normal,high,8,no,4.41,3.22,5.22,3.1
tourist_area,87.7,normal,medium,12,no,2.91,4.37,3.15,4.61
residential,9.9,holiday,medium,4,no,6.56,2.6,5.42,2.53
market,27.1,normal,high,2,no,10.86,3.04,11.52,3.43
residential,35.1,normal,medium,10,no,4.85,3.19,5.08,3.16
office,15.0,normal,high,3,yes,5.05,5.22,4.87,5.43
school,221.5,holiday,low,9,no,2.21,3.16,3.01,3.47
school,288.2,normal,low,9,no,3.53,1.45,3.51,1.68
office,75.2,normal,medium,8,no,3.04,2.64,2.77,2.9
market,67.9,normal,medium,8,yes,12.57,2.74,11.97,3.06
tourist_area,83.3,normal,high,8,no,6.94,5.85,6.35,5.79
market,174.0,normal,high,8,no,15.0,2.66,13.64,3.46
residential,66.7,normal,medium,8,no,6.53,1.47,6.61,2.12
school,1.4,normal,low,1,no,2.4,3.7,2.37,2.76
office,106.2,normal,high,6,no,4.83,3.92,5.27,3.83
residential,0.5,normal,medium,12,no,3.17,4.18,4.57,3.59
office,163.9,normal,low,9,no,1.65,2.5,2.47,3.29
tourist_area,101.8,normal,medium,8,no,5.11,5.13,5.71,4.55
residential,19.2,holiday,high,3,no,8.88,2.69,7.17,2.67
tourist_area,48.1,festival,high,11,no,8.79,9.66,8.9,9.54
residential,1.4,festival,medium,1,no,7.17,2.7,7.73,3.24
residential,5.2,holiday,medium,2,no,7.23,1.78,5.8,2.26
residential,15.2,normal,high,11,no,6.42,4.52,6.62,3.96
tourist_area,7.8,holiday,medium,2,no,6.49,6.08,6.15,6.4
school,55.2,normal,medium,7,yes,3.4,3.79,3.72,3.53
residential,189.2,normal,medium,12,no,5.47,2.8,5.5,2.58
market,153.6,normal,high,6,no,12.79,2.31,13.53,2.49
school,64.6,normal,low,11,no,2.31,2.87,2.26,3.4
residential,83.0,holiday,low,2,no,2.05,2.13,2.01,2.19
tourist_area,17.7,normal,medium,8,no,4.87,5.76,5.31,4.63
office,60.6,normal,medium,9,no,4.2,2.55,4.01,2.38
market,78.0,festival,medium,7,no,15.0,4.62,14.48,4.83
tourist_area,53.2,normal,low,4,no,3.74,3.67,4.51,3.97
market,34.1,normal,medium,1,yes,7.25,4.16,8.39,4.37
tourist_area,8.1,festival,medium,4,yes,8.1,7.88,7.5,7.72
school,14.2,normal,low,4,no,3.09,2.58,2.15,3.29
school,80.8,normal,low,8,yes,2.37,3.69,2.12,2.83
residential,22.5,normal,high,4,yes,7.87,3.93,7.75,4.18
tourist_area,65.9,normal,high,4,no,7.63,5.31,7.35,5.43
market,14.4,holiday,low,2,no,8.61,2.76,7.34,2.51
residential,71.8,normal,high,12,no,6.6,4.29,7.25,4.32
residential,17.5,normal,medium,10,no,4.79,2.04,5.55,2.17
school,185.9,normal,high,7,no,2.78,4.64,3.71,4.2
